a	A
afterthoughts	pemikiran tambahan
afterward	kemudian
afterwards	setelah itu
afterword	kata penutup
afterwords	kata penutup
aga	aga
again	lagi
against	melawan
agalloch	agaloch
agama	agama
agapanthus	agapanthus
agape	ternganga
agar	agar
agaric	jamur
agate	batu akik
agates	batu akik
agave	agave
agcy	agensi
age	usia
aged	berumur
agee	setuju
ageing	penuaan
ageism	diskriminasi usia
ageist	diskriminatif berdasarkan usia
ageless	awet muda
agencies	lembaga
agency	agen
agenda	agenda
agendas	agenda
agenesis	agenesia
agent	agen
agentive	bertindak sebagai agen
agents	agen
ageratum	ageratum
ages	usia
agger	agger
aggie	aggie
aggiornamento	pembaruan
agglomerate	menggumpal
agglomerated	menggumpal
agglomerates	aglomerat
agglomeration	pengelompokan
agglomerations	aglomerasi
agglomerative	aglomeratif
agglutinate	menggumpalkan
agglutinated	teraglutinasi
agglutinating	mengaglutinasi
agglutination	aglutinasi
agglutinin	aglutinin
agglutinins	aglutinin
aggrandize	memperluas
aggrandizement	penaikan
aggrandizing	memperbesar
aggravate	memperberat
aggravated	diperparah
aggravates	memperburuk
aggravating	memperburuk
aggravation	kejengkelan
aggravations	perburukan
aggravator	faktor pemberat
aggregate	agregat
aggregated	dikumpulkan
aggregates	agregat
aggregating	menggabungkan
aggregation	pengumpulan
aggregations	agregasi
aggregative	agregatif
aggregator	agregator
aggregators	agregator
aggression	agresi
aggressions	agresi
aggressive	agresif
aggressively	agresif
aggressiveness	agresivitas
aggressor	agresor
aggressors	penyerang
aggrieved	tersinggung
aggro	agresif
agha	agha
aghast	terperanjat
agile	lincah
agility	kelincahan
aging	penuaan
agio	agio
agios	agios
agitate	mengganggu
agitated	gelisah
agitates	gelisah
agitating	mengagitasi
agitation	agitasi
agitations	agitasi
agitato	agitato
agitator	agitator
agitators	penghasut
agitprop	agitprop
aglet	ujung tali
aglow	bersinar
agma	agma
agnates	agnat
agnatic	agnatik
agnosia	agnosia
agnostic	agnostis
agnosticism	agnostisme
agnostics	agnostik
ago	yang lalu
agog	antusias
agon	agon
agonies	penderitaan
agonist	agonis
agonistic	atletik
agonists	agonis
agonize	menderita sekali
agonized	tersiksa
agonizing	menyiksa
agonizingly	dengan menyakitkan
agony	rasa sakit
agora	agora
agoraphobia	agorafobia
agoraphobic	agorafobia
agoras	agoras
agouti	agouti
agr	agr
agranulocytosis	agranulositosis
agrarian	agraris
agrarianism	agraria
agrarians	petani
agree	setuju
agreeable	setuju
agreeableness	keramahan
agreeably	secara menyenangkan
agreed	sepakat
agreeing	setuju
agreement	perjanjian
agreements	perjanjian
agrees	setuju
agribusiness	agribisnis
agribusinesses	agribisnis
agric	pertanian
agricultural	pertanian
agriculturalist	petani
agriculturalists	petani
agriculturally	pertanian
agriculture	pertanian
agriculturist	petani
agriculturists	petani
agrimony	agrimoni
agrochemical	bahan kimia pertanian
agrochemicals	bahan kimia pertanian
agron	agro
agronomic	agronomi
agronomist	ahli agronomi
agronomists	ahli agronomi
agronomy	agronomi
aground	kandas
ague	malaria
ah	Ah
aha	aha
ahead	di depan
ahem	ehem
ahimsa	ahimsa
ahoy	ahoy
ai	AI
