fax	faks, fax
absurd	absurd
absurdities	absurditas
absurdum	absurdum
abt	abt
abu	abu
abundance	berlimpah, kelimpahan
abundant	berlimpah, melimpah
abuse	pelecehan, penyalahgunaan
abusing	menyalahgunakan
abw	abw
abx	abx
abymes	abymes
abyss	jurang
abyssinian	abyssinian
acacia	acacia
acacias	acacias
acad	acad
academia	academia, akademisi
academic	akademik, akademisi, akademis
academically	akademis
academics	akademisi
academies	akademi
academy	akademi, academy
acapella	acapella
acarya	acarya
acc	acc
accel	accel
accelerated	dipercepat
accelerating	mempercepat
acceleration	akselerasi, percepatan
accelerator	akselerator
accelerators	akselerator
accelerometers	accelerometers
accent	logat, aksen
accented	beraksen
accents	aksen
accept	menerima, terimalah, terima
acceptance	kepasrahan, penerimaan
accepted	diterima
accepts	menerima, penerimaan
access	akses
accessed	diakses
accesses	akses
accessible	diakses
accessing	mengakses
accession	aksesi
accessories	accessories, aksesoris, aksesori
accessory	aksesoris, aksesori
accident	kecelakaan, hse
accidental	disengaja
accidents	kecelakaan
accommodating	akomodatif
accommodation	akomodasi
accommodations	akomodasi
accompanied	ditemani, didampingi, disertai, diiringi
accompaniment	iringan
accompanying	menemani, mendampingi
accomplished	dicapai, tercapai
accomplishing	merampungkan
accomplishment	pencapaian, berprestasi
accord	accord
according	menurut
accordion	akordeon
accords	belavezha
accosted	disapa
account	rekening, account, akun
accountability	pertanggungjawaban, akuntabilitas
accountancy	agresif
accountant	akuntan
accountants	akuntan
accounting	accounting, akunting, akuntansi
accounts	rekening, akun
accra	accra
accreditation	akreditasi
accreditations	accreditations
accredited	terakreditasi, akreditasi
accretion	akresi
accrual	akrual
accumulated	akumulasi
accumulation	akumulasi
accumulator	akumulator
accusation	tuduhan
accusations	tuduhan, menuduh
accuses	menggugat
accusing	menuduh, tuduh
acd	acd
ace	ace, anang
acetate	asetat
acetyl	asetil
acetylcholine	asetilkolin
acetylene	asetilena
acf	acf
achenbach	achenbach
aches	nyeri
achieved	raih, tercapai, dicapai, diraih
achievement	pencapaian, prestasi, berprestasi
achievements	pencapaian, prestasi
achieving	mencapainya, mencapai, meraih
achilles	achilles
aci	aci
acid	asam, acid
acidity	keasaman
acidosis	asidosis
ack	ack
acker	acker
acknowledged	diakui
acknowledgement	pengakuan
acknowledgment	pengakuan
acm	acm
acme	acme
acn	acn
acne	acne, ajeng, jerawat
aconcagua	akonkagua
acorn	aji, acorn
acorns	biji
acoustic	acoustic, akustik
acoustical	ajimat
acoustics	akustik
acp	acp
acpi	acpi
acquaintance	kenalan
acquaintances	kenalan
acquainted	berkenalan
acquired	diperoleh, didapatkan
acquisition	akuisisi, perolehan
acquisitions	akuisisi
acr	acr
acre	acre
acres	hektar
acrobatic	akrobatik
acrobatics	akrobat
acrobats	akrobat
acronym	akronim
acronyms	akronim
across	seberang
acrylic	akrilik
acrylonitrile	akrilonitril
acs	acs
act	bertindak, bertindaklah, act
acta	acta
actes	actes
acting	bertindak, akting, berakting, aktingnya
actinium	aktinium
actinobacteria	actinobacteria
action	tindakan, aksi
actions	tindakan, aksi
activated	diaktifkan
activating	mengaktifkan
activation	aktivasi, pengaktifan
activations	aktivasi
activator	activator
active	active, aktif
activism	akhlak
activist	aktivis
activists	aktivis
activities	kegiatan, aktifitas, aktivitas
activity	kegiatan, aktivitas
actor	actor, aktor
actors	aktor
actress	aktris, actress
acts	act
actual	aktual
actuality	kepastiannya
actually	sebenarnya, actually
actuated	actuated
acu	acu
acuna	acuna
acute	akut
acv	acv
acyl	asil
acylation	asilasi
ada	ada
adagio	adagio
adair	adair
adam	adam
adams	adams
adaptation	adaptasi
adapted	diadaptasi
adapter	adaptor
adapters	adaptor
adapting	beradaptasi
adaptive	adaptif
adaptor	adaptor
adb	adb
adc	adc
add	tambah, add, tambahkan
added	menambahkan, ditambahkan
addenda	addenda
adder	adder
addict	addict, pecandu
addicted	addicted, ketagihan, kecanduan
addiction	ketergantungan, kecanduan
addictions	kecanduan
addictive	ketagihan, kecanduan, adiktif
addicts	pecandu
adding	menambahkan, menambah
addis	addis
addition	tambahan, penambahan
additional	tambahan
additions	penambahan
additive	aditif
additives	aditif
address	alamat
addressed	dialamatkan, ditujukan
addresses	alamat
addressing	pengalamatan
adds	menambahkan, penambahan
addy	addy
ade	ade
adelaide	adelaide
adelia	adelia
adelie	adelie
adelina	adelina
adelman	adelman
adelson	adelson
adem	adem
aden	aden
adenine	adenina
adenosine	adenosina
adequacy	kecukupan
adequate	memadai
adequately	memadai
ades	ades
adf	adf
adhered	dipatuhi
adhesions	pelekatan
adhesive	perekat, lem
adhesives	perekat
adi	adi
adic	adic
adige	adige
adios	adios
adipose	adiposa
adirondack	adirondack
adjective	sifat
adjourned	ditunda
adjustable	adjustable
adjusted	disesuaikan
adjusting	menyesuaikan
adjustment	penyesuaian
adjustments	penyesuaian
adjutant	ajudan
adkins	adkins
adl	adl
adm	adm
admin	admin
administration	administrasi
administrative	administratif
administrator	pengurus, administrator
administrators	pengurus, administrator
admins	admin, pengurus
admirable	mengagumkan
admiral	laksamana, admiral
admirals	admirals
admiralty	admiralty
admiration	kekaguman
admired	mengagumi, dikagumi
admirer	pengagum
admirers	pengagum
admiring	mengagumi
admission	pengakuan
admissions	penerimaan
admits	mengakui
admitted	mengaku
adn	adn
ado	ado
adobe	adobe
adonijah	adonia
adonis	adonis
adopt	adopsi, mengadopsi
adopted	diadopsi, adopsi, mengadopsi
adopters	pengadopsi
adopting	mengadopsi
adoption	adopsi
adopts	mengadopsi
adored	dipuja, memuja
adoring	memuja
adorn	menghiasi
adorned	dihiasi
adorno	adorno
adp	adp
adrenalin	adrenalin
adrenaline	adrenaline, adrenalin
adress	adress
adriatic	adriatic
adrift	terapung
ads	iklan
adsit	adsit
adsorption	adsorpsi
adt	adt
adu	adu
adult	dewasa
adulterers	pezina
adultery	perzinahan, zina, perselingkuhan, perzinaan, percabulan
adults	dewasa
adv	adv
advance	maju, advance
advanced	maju, canggih, lanjutan
advantage	keuntungan, keunggulan
advantages	keuntungan, keunggulan, kelebihan
advent	advent, adven
adventist	advent
adventure	bertualang, adventure, petualangan
adventurers	petualang
adventures	bertualang, adventures, petualangan
adventurous	petualang
adverb	adverbia, alkitabiah
advertise	mengiklankan, beriklan
advertised	diiklankan
advertisement	iklan
advertisements	iklan
advertisers	pengiklan
advertising	periklanan, mengiklankan, iklan, beriklan
adverts	iklan
advice	nasihat, nasehat, saran
advisement	almarhumah
adviser	penasihat
advising	menasehati, menasihati
advisor	penasihat, penasehat
advisors	penasehat
advisory	penasihat, nasihat, penasehat, penyuluhan
advocacy	advokasi
advocate	advokat
advocating	menganjurkan
adw	adw
aea	aea
aegean	aegea
aegis	aegis
aei	aei
aem	aem
aeolian	aeolian
aeon	eon, aeon
aer	aer
aera	aera
aerated	aerasi
aerial	udara
aero	aero
aerobics	aerobik
aerodynamics	aerodinamis, aerodinamika
aeronautical	aeronautical
aerosol	aerosol
aerospace	dirgantara, aerospace
aerostat	aerostat
aes	aes
aesa	aesa
aesop	aesop
aest	aest
aesthetic	estetika, aesthetic
aet	aet
aether	aether
aew	aew
afa	afa
afar	jauh
afb	afb
afc	afc
afcs	afcs
afdb	afdb
affair	affair, perselingkuhan, berselingkuh
affaire	affaire
affaires	affaires
affairs	affairs, yudha
affect	pengaruhi, amaliah, memengaruhi, mempengaruhi
affected	terpengaruh, terdampak
affecting	mempengaruhi
affectionate	pengasih
affective	afektif
affects	berpengaruh, memengaruhi, mempengaruhi
affiliate	afiliasi, amang
affiliated	berafiliasi
affiliates	afiliasi
affiliation	afiliasi
affiliations	afiliasi
affine	affine
affinity	afinitas, pertalian, kemiripan
affirmation	penegasan, afirmasi
affirmative	afirmatif
affordable	terjangkau
afghan	afganistan, afghan
afghans	afghan
afk	afk
afo	afo
afp	afp
afr	afr
afra	afra
afraid	takut
africa	africa, afrika
african	afrika
afro	afro
afs	afs
aft	buritan
aftab	aftab
after	sesudah, after, setelah
afterburners	afterburner
afternoon	sore, siang
afterwards	sesudahnya
afula	afula
afv	afv
aga	aga
agabus	agabus
again	lagi
against	menentang, melawan, against, terhadap
agassiz	agassiz
agate	agate
agatha	agatha
agb	agb
agc	agc
agde	agde
age	usia, umur
aged	berusia
ageing	penuaan
agena	agena
agencies	agen, lembaga, agensi
agency	agency, agen, agensi, badan
agenda	agenda
agendas	agenda
agenesis	agenesis
agent	agen, agent
agents	agen
ager	ager
ages	usia, ages, umur
aggarwal	aggarwal
aggie	aggie
aggregate	agregat
aggregated	agregat
aggregation	pengumpulan, agregasi, agregat
aggression	agresi
aggressive	agresif
aggressors	agresor
aggrieved	ampat
aghlabids	aghlabiyyah
agile	ampek, gesit
agincourt	agincourt
aging	penuaan
agios	agios
agis	agis
agitated	gelisah
agitator	penghasut
agitators	penghasut
agl	agl
agm	agm
agn	agn
agno	agno
agnostic	agnostik
agnus	agnus
ago	ago, silam
agogo	agogo
agoncillo	agoncillo
agonist	agonis
agony	penderitaan, derita
agouti	agouti
agp	agp
agrarian	agraria
agree	setuju
agreed	setuju, disepakati
agreement	kesepakatan, perjanjian, persetujuan
agreements	perjanjian
agrestis	agrestis
agri	agri
agric	agric
agricultural	pertanian
agriculture	pertanian
agron	agron
aground	terdampar, kandas
ags	ags
agt	agt
agu	agu
aguila	aguila
aguillard	aguillard
aguinaldo	aguinaldo
aguirre	aguirre
agung	agung
agus	agus
agusan	agusan
agustin	agustín, agustin
agv	agv
aha	aha
aham	aham
ahe	ahe
ahead	depan, ahead
ahed	ahed
ahh	ahh
ahimsa	ahimsa
ahl	ahl
ahn	ahn
aho	aho
ahoy	ahoy
ahr	ahr
ahs	ahs
ahsan	ahsan
aht	aht
ahumada	ahumada
aia	aia
aiadmk	aiadmk
aias	aias
aic	aic
aicpa	aicpa
aid	aid
aida	aida
aide	ajudan
aided	dibantu
aiden	aiden
aides	ajudan
aidid	aidid
aids	aids
aie	aie
aiff	aiff
aii	aii
aikido	aikido
ail	ail
aileen	aileen
aileron	aileron
aim	aim, bidik
aime	aime
aimed	bertujuan, ditujukan
aimes	aimes
aims	bertujuan
ain	ain
aino	aino
aion	aion
aip	aip
aipac	aipac
air	udara, air
airai	airai
airbags	airbag
aircraft	pesawat, aircraft
airdrie	airdrie
aire	aire
airedale	airedale
aires	aires
airframes	airframes
airi	airi
airing	ditayangkan
airlifted	diterbangkan
airline	maskapai, airline
airlines	airlines
airmen	penerjun, penerbang
airplane	pesawat
airplanes	pesawat
airport	airport, bandara
airports	bandara
airway	airway
airways	airways
airy	airy
aiton	aiton
aix	aix
ajami	ajami
ajax	ajax
ajc	ajc
ajk	ajk
ajr	ajr
aka	alias, aka
akaba	akaba
akane	akane
akbar	akbar
akc	akc
ake	ake
akela	akela
akers	akers
aki	aki
aking	aking
akis	akis
akkadian	akkadia
aklan	aklan
aks	aks
ala	ala
alabama	alabama
alabang	alabang
aladdin	aladdin
alaeddin	alaeddin
alai	alai
alais	alais
alajuela	alajuela
alam	alam
alaminos	alaminos
alamogordo	alamogordo
alamos	alamos
alamut	alamut
alan	alan
alang	alang
alani	alani
alar	alar
alarm	alarm
alarming	mengkhawatirkan
alarms	alarm
alas	alas
alasdair	alasdair
alaska	alaska
alaskan	alaska
alavi	alavi
alawi	alawi
alay	alay
alb	alba, alb
alba	alba
albanesi	albanesi
albania	albania
albanian	albania
albano	albano
albany	albany
albarn	albarn
albatross	albatros
albatrosses	albatrosses
albedo	albedo
albee	albee
albers	albers
albert	albert
alberta	alberta
alberts	alberts
albion	albion
albo	albo
albright	albright
album	album
albumin	albumin
albums	album
albuquerque	albuquerque
alburquerque	alburquerque
albus	albus
alc	alc
alcalde	alcalde
alchemists	alkemi
alchemy	alkimia
alcl	alcl
alco	alco
alcohol	alkohol
alcoholic	beralkohol, alkohol, alkoholik
alcoholics	alcoholics
alcott	alcott
alcubierre	alcubierre
ald	ald
aldabra	aldabra
aldehyde	aldehida
alder	alder
alderman	alderman
alderson	alderson
aldgate	aldgate
aldis	aldis
aldrin	aldrin
alds	aids
ale	ale
alec	alec
alecia	alecia
alef	alef
alegre	alegre
aleh	aleh
alejo	alejo
alek	alek
aleksey	aleksei, aleksey
aleman	aleman
aleph	aleph
aleppo	aleppo
alert	siaga, peringatan, waspada, alert
alerted	diperingatkan
alerts	peringatan
ales	ales
aleutian	aleutian
alex	alex
alexander	alexander
alexandra	alexandra
alexandrine	alexandrine
alexei	alexei
alf	alf
alfalfa	alfalfa
alfonso	alfonso
alfonzo	alfonzo
alford	alford
alfredo	alfredo
alg	alg
alga	alga
algae	alga, ganggang
algal	algal
algebra	aljabar
algebraic	aljabar
algebras	algebras
algerian	aljazair
algie	algie
algonquian	algonquian
algorithm	algoritma
algorithms	algoritma
algy	algy
alhambra	alhambra
ali	ali
alias	alias
aliases	alias
aliasing	aliasing
alibaba	alibaba
alibi	alibi
alibis	alibi
alice	alice
alie	alie
alien	alien
alienate	mengasingkan
alienated	terasing
alienation	keterasingan
aliens	alien, aliens
align	align, ratakan, perataan
aligned	selaras, sejajar
alignment	penyesuaian, perataan
alija	alija
alimony	tunjangan
aline	aline
alisa	alisa
alive	hidup, alive
alix	alix
aliya	aliya
aliza	aliza
alk	alk
alkali	alkali
alkaline	alkali
alkalinity	alkalinitas
alkalis	alkalis
alkaloid	alkaloid
alkyl	alkil
all	all, aii, semua
allah	allah
allais	allais
allan	allan
allegations	tuduhannya
alleged	dugaan, diduga
allegheny	allegheny
allegiance	kesetiaan
allegiant	allegiant
allegorical	alegoris
allegories	perlambang
allen	allen
allergens	alergen
allergic	alergi
allergies	alergi
allergy	alergi
alley	gang, alley
alleyne	alleyne
alleys	gang
alliance	persekutuan, alliance, aliansi
alliances	aliansi
allied	allied, sekutu
allies	sekutu
alligator	aligator, buaya
alligators	buaya
allocated	dialokasikan
allocating	mengalokasikan
allocation	alokasi
allocations	alokasi
allow	izinkan, ijinkan, editan
allowance	tunjangan
allowances	subsidi, tunjangan
allowed	diizinkan, diijinkan, diperbolehkan
allowing	mengijinkan, mengizinkan
alloy	paduan
alloys	paduan
allusions	sindiran
alluvial	alluvial
ally	ally, sekutu
allyl	alil
allyson	allyson
alma	alma
almagest	almagest
almanac	almanak
almira	almira
almond	almond
almonds	almond
almost	almost, hampir, nyaris
alms	sedekah, zakat
alo	alo
aloe	aloe
aloha	aloha
alona	alona
alone	sendirian, alone, sendiri
along	along, sepanjang
alonso	alonso
alonzo	alonzo
alopecia	alopecia
alor	alor
alos	alos
alot	banyak, alot
alouette	alouette
alp	alp
alpacas	alpaca
alpert	alpert
alpha	alpha, alfa
alphabet	alphabet, alfabet, abjad
alphaeus	alfeus
alphonso	alphonso
alpine	alpine
alps	alpen
already	sudah
alright	alright, baiklah
als	als
alsa	alsa
also	juga
alt	alt
alta	alta
altai	altai
altar	altar, mezbah
altars	altar
altavista	altavista
altay	altay
alte	alte
alter	alter
altered	diubah
alterman	alterman
alternate	alternative, alternatif
alternating	bergantian, bolak
alternative	alternative, alternatif
alternatives	alternatifnya, alternative, alternatif
alternators	alternators
altes	altes
altimeter	altimeter
altin	altin
altitude	ketinggian
alto	alto
alton	alton
altos	alto
altruism	altruisme
alu	alu
alum	alum
aluminium	aluminium, alumunium
aluminum	aluminium, alumunium
alumni	alumni
alun	alun
alvarez	alvarez
alveoli	alveoli
alvis	alvis
always	always, selalu
alwyn	alwyn
aly	aly
alzheimer	alzheimer
alzira	alzira
ama	ama
amadeo	amadeo
amado	amado
amador	amador
amalfi	amalfi
amalgamated	amalgamated
amalthea	amalthea
amami	amami
aman	aman
amanita	amanita
amante	amante
amara	amara
amarante	amarante
amaranth	bayam
amari	amari
amarna	amarna
amaro	amaro
amasya	amasya
amateur	amatiran, amatir
amateurs	amatiran, amatir
amazed	kagum, terpukau
amazon	amazon
amazonian	amazon
amazons	amazon
ambassador	duta
ambassadors	duta
amber	amber, ambar
ambersons	ambersons
ambient	ambient
ambiguous	ambigu
ambitions	ambisi
ambler	ambler
ambo	ambo
amboina	amboina
ambon	ambon
amboyna	amboyna
ambroise	ambroise
ambrose	ambrosius, ambrose
ambrosia	ambrosia
ambrosio	ambrosio
ambulance	ambulans, ambulance, ambulan
ambulances	ambulans, ambulan
ambush	amburadul, penyergapan
ambushes	penyergapan
amc	amc
amd	amd
ame	ame
ameer	ameer
amell	amell
amen	aamiin, amin
amendment	amandemen
ameng	ameng
america	amerika, america
american	american, amerika
americanism	amerikanisme
americanization	amerikanisasi
americano	americano
amerika	amerika
ames	ames
amethyst	kecubung
amex	amex
amg	amg
amh	amh
amherst	amherst
ami	ami
amici	amici
amico	amico
amide	amida
amigos	amigos
amino	amino
aminopeptidase	aminopeptidase
amir	amir
amis	amis
amish	amish
amk	amk
aml	aml
amma	amma
ammar	ammar
ammo	amunisi
ammonia	amonia
ammonium	amonium
ammunition	amunisinya, amunisi
amn	amn
amnesia	amnesia
amnesty	amnesti
amniotic	ketuban
amok	amok
amol	amol
amon	amon
amor	amor
amoraim	amoraim
amorim	amorim
amorites	amori
amoruso	amoruso
amos	amos
amount	jumlah
amounts	jumlah
amour	amour
amours	amours
amp	amp
amparo	amparo
ampatuan	ampatuan
amphetamines	amfetamin
amphibians	amfibi
amphibious	amfibi
amphitheater	amphitheater
amplified	diperkuat
amplifier	amplifier, penguat
amplifying	memperkuat
amplitude	amplitudo
amps	amp
amputated	diamputasi, amputasi
amputations	amputasi
amputee	diamputasi
amputees	diamputasi
amr	amr
amra	amra
amraam	amraam
amrit	amrit
ams	ams
amsa	amsa
amsl	amsl
amsterdam	amsterdam
amt	amt
amtrak	amtrak
amu	amu
amur	amur
amusement	hiburan
amv	amv
amy	amy, adinda, airlangga
amygdala	amigdala
amyotrophic	sklerosis
ana	ana
anabaptist	anabaptist
anabaptists	anabaptis
anabel	anabel
anabolic	anabolik
anaconda	anakonda, anaconda
anacondas	anakonda
anadyr	anadyr
anaemia	anemia
anaerobic	anaerobik
anaesthetic	anestesi
anagram	anagram
anagrams	anagram
anaheim	anaheim
analecta	analecta
analog	analog
analogical	analogis
analogue	analog
analogy	analogi
analysed	dianalisis, dianalisa
analyser	penganalisa
analysing	menganalisis, menganalisa
analysis	analisa, analisis
analyst	analis, analisis
analysts	analis
analytic	analitik
analytical	analytical
analyzed	dianalisa, dianalisis
analyzer	penganalisa
analyzing	menganalisis, menganalisa
anana	anana
anang	anang
anantha	anantha
anaphora	anafora
anaphylactic	anafilaksis
anarchism	anarkisme
anarchist	anarkis
anarchists	anarkis
anarchy	anarki
anas	anas
anastacia	anastacia
anastasios	anastasios
anata	anata
anatolian	anatolia
anatoliy	anatoliy
anatoly	anatoly
anatomical	anatomi
anatomy	anatomi
anbar	anbar
anc	anc
anca	anca
ancash	ancash
anceps	anceps
ancestor	leluhur
ancestors	leluhur
ancha	ancha
anchor	jangkar, anchor
anchors	jangkar
anchovies	teri
anchovy	teri
ancient	kuno
ancilla	ancilla
and	dan
anda	anda
andalusi	andalusi
andaman	andaman
ande	ande
andean	andean
andersen	andersen
anderson	anderson
anding	anding
andino	andino
andorra	andorra
andover	andover
andre	andre
andrea	andrea
andreas	andreas
andrei	andrei
andres	andres
andrew	andreas, andrew
andrews	andrews
andro	andro
androgen	androgen
androgens	androgen
andromeda	andromeda
andros	andros
andry	andry
andy	andy
anecdotal	anekdot
anecdote	anekdot
anecdotes	anekdot
anemia	anemia
anemone	anemon
anesthetics	anestesi
aneta	aneta
ang	ang
angad	angad
angel	bidadari, malaikat, angel
angela	angela
angeles	angeles
angelica	angelica
angelique	angelique
angels	malaikat, angels
angelucci	angelucci
anger	anger, murka, kemarahan, marah, amarah
angers	angers
angina	angina
angiography	angiography
angiosperms	angiosperms
angiotensin	angiotensin
anglaise	anglaise
angle	angle, sudut
angler	angler
anglerfish	lophiiformes
angles	angles
anglican	anglikan
anglicans	anglicans
anglo	anglo
anglophile	anglofilia
anglosphere	anglosfer
angora	angora
angostura	angostura
angry	angry, marah
angst	angst
angstrom	ångström
angus	angus
anhalt	anhalt
anhydride	anhidrida
ani	ani
aniline	anilin
animal	hewan, binatang, animal
animals	hewan, animals, binatang
animas	animas
animate	animasi
animated	animasi
animates	menjiwai
animation	animasi, animation
animations	animasi
animators	animators
anime	anime
anion	anion
anis	anis
anise	anise
anissa	anissa
aniston	aniston
ankeny	ankeny
ankole	ankole
anna	anna
annabella	annabella
annas	annas
anne	anne
annealing	annealing
annemarie	annemarie
annexed	dianeksasi
annie	annie
annihilated	dimusnahkan
annihilation	pemusnahan
anniversaries	perayaan
anniversary	anniversary
annona	annona
annotations	anotasi
announce	mengumumkan, umumkan
announced	mengumumkan, diumumkan, umumkan
announcement	pengumuman
announcements	pengumuman
announcer	announcer, penyiar
announcing	mengumumkan
annoyed	sebal, terganggu, jengkel, kesal
annual	tahunan
annuity	anuitas
annular	annular
annunciation	annunciation
anode	anode
anointed	diurapi
anomalies	anomali
anomaly	anomali
anon	anon
anonymous	anonim, ikang, anonymous
anor	anor
anorexia	anoreksia
anorexic	anoreksia
anos	anos
another	another
anova	anova
ans	ans
ansa	ansa
anschutz	anschutz
ansel	ansel
anselmo	anselmo
ansi	ansi
answer	jawab, jawaban, jawablah, menjawab
answered	menjawab, terjawab, dijawab
answering	menjawab
answers	jawaban
ant	ant, semut
anta	anta
antaeus	antaeus
antalya	antalya
antar	antar
antarctic	antarktika
antas	antas
ante	ante
anteater	trenggiling
antecedents	antecedents
antelope	kijang
antenna	antena
antennas	antena
antenor	antenor
anterior	anterior
anterolateral	anterolateral
antes	antes
anthems	anthems
anthon	anthon
anthropologist	antropolog
anthropology	antropologi
anti	anti
antiaircraft	antipesawat
antibiotics	antibiotik
antibodies	antibodi
antibody	antibodi
anticipated	diantisipasi
anticipating	mengantisipasi, antisipasi
anticipatory	antisipatif
antics	kejenakaan
antidiuretic	antidiuretik
antidotes	penangkal
antietam	antietam
antifungals	antijamur
antigen	antigen
antigenic	antigenic
antigonid	antigonid
antihistamines	antihistamin
antilles	antilles
antimatter	antimateri
antimony	antimon
antineutrino	antineutrino
antioch	antiokhia
antioquia	antioquia
antioxidants	antioksidan
antipater	antipater
antiphon	antifon
antipodes	antipode
antipolo	antipolo
antipsychotics	antipsikotik
antiqua	antiqua
antiquaries	antiquaries
antiquark	antiquark
antique	antique, antik
antiques	antik
antiquity	kuno
antisemitic	antisemitic
antisemitism	antisemitisme
antiseptic	antiseptik
antisocial	antisosial
antler	tanduk
antlers	tanduk
antofagasta	antofagasta
anton	anton
antonine	antonine
antonio	antonio
ants	semut
anu	anu
anubis	anubis
anus	anus
anvil	anvil
anxiety	kecemasan, kegelisahan
anxious	cemas, resah, gelisah
any	setiap, sembarang, any
anymore	anymore
anyone	anyone, siapapun
anything	anything, apapun
anytime	kapanpun
anywhere	dimanapun, kemanapun
anz	anz
anzac	anzac
aoa	aoa
aoe	aoe
aoi	aoi
aok	aok
aom	aom
aon	aon
aor	aor
aorist	aoristus
aorta	aorta
aos	aos
aot	aot
aou	aou
apa	apa
apac	apac
apache	apache
apaches	apache
aparicio	aparicio
apartheid	apartheid
apartment	apartement, apartment, apartemen
apartments	apartement, apartemen
apas	apas
apb	apb
apc	apc
apcs	apcs
ape	kera, ape
apec	apec
apennine	apennine
apep	apep
aperture	aperture, bukaan
apes	apes, kera
apex	apex
apf	apf
apg	apg
apgar	apgar
aph	aph
apha	apha
aphasia	aphasia
aphid	aphid
aphis	aphis
aphrodite	aphrodite
aphthous	aphthous
api	api
apical	apical
apis	api
aplin	aplin
apm	apm
apn	apn
apo	apo
apocalypse	apocalypse, kiamat
apocalyptic	apokaliptik
apocryphal	apokrif
apod	apod
apogee	apogee
apollinaris	apollinaris
apollo	apollo
apollon	apollon
apollonius	apollonius
apollos	apolos
apologetic	apologetic
aponte	aponte
apoptosis	apoptosis
apostle	rasul
apostles	rasul
apostolic	apostolik
apostrophe	apostrophe
apostrophes	apostrof
apothecary	apoteker
app	app, apl, aplikasi
appalachian	appalachian
appanage	apanase
apparatus	aparat
apparel	apparel, pakaian, busana
apparition	penampakan
appeal	banding
appealed	banding
appealing	memikat
appeals	banding
appear	tampil, muncul
appearance	penampilan, tampil, tampilan
appearances	penampilan, tampil
appeared	muncul
appears	muncul
appelbaum	appelbaum
appendage	embel
appendages	pelengkap
appendices	appendices
appendix	lampiran
appenzell	appenzell
appetite	nafsu
appetites	selera
appiah	appiah
appian	appianos
applause	applause
apple	apel, apple
applebaum	applebaum
apples	apel
appleseed	appleseed
applets	applet
appliance	peralatan
appliances	peralatan
applicability	akuan
applicants	pemohon, pelamar
application	lamaran, aplikasi
applications	lamaran, aplikasi
applied	terapan, diaplikasikan, diterapkan
applies	terapkan
applying	mengaplikasikan, menerapkan
appointed	ditunjuk
appointment	janji
appreciated	dihargai, disyukuri
appreciation	penghargaan, apresiasi
apprehended	ditangkap
apprentice	magang
approach	dekati, pendekatan
approached	didekati
approaches	pendekatan
approaching	mendekati, mendekat
approval	persetujuan
approvals	persetujuan
approve	setujui, menyetujui
approved	disetujui
approves	diridhai
approximated	anatar
approximations	approximations
apps	aplikasi
apr	apr
apricot	apricot
apricots	apricot
april	april
apron	apron, celemek
aprons	celemek
apse	apse
apu	apu
apud	apud
apus	apus
apv	apv
apw	apw
apx	apx
aqa	aqa
aqua	aqua
aquae	aquae
aquaria	aquaria
aquarian	aquarian
aquariums	akuarium
aqueducts	aqueducts
aqueous	aqueous
aquifer	aquifer
aquino	aquino
aquitaine	aquitaine
arab	arab
araba	araba
arabia	arabia, saudi
arabic	arab, arabic
arabs	arab
arabsat	arabsat
araby	araby
arachnoid	arachnoid
arado	arado
arago	arago
aragon	aragon
